source,indicator_code,region_code,period,value,unit,vintage,retrieved_at,source_url,missing_reason
WORLDBANK,SP.DYN.TFRT.IN,DEU,2025,,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,NA_NOTSURVEYED
WORLDBANK,SP.DYN.TFRT.IN,DEU,2024,1.36,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,DEU,2023,1.39,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,DEU,2022,1.455,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,DEU,2021,1.58,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,DEU,2020,1.53,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,DEU,2019,1.54,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,DEU,2018,1.57,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,DEU,2017,1.57,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,DEU,2016,1.6,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,DEU,2015,1.5,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2025,,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,NA_NOTSURVEYED
WORLDBANK,SP.DYN.TFRT.IN,ESP,2024,1.1,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2023,1.12,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2022,1.16,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2021,1.18,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2020,1.18,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2019,1.23,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2018,1.26,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2017,1.31,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2016,1.33,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ESP,2015,1.33,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2025,,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,NA_NOTSURVEYED
WORLDBANK,SP.DYN.TFRT.IN,FRA,2024,1.61,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2023,1.66,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2022,1.78,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2021,1.83,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2020,1.82,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2019,1.86,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2018,1.87,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2017,1.89,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2016,1.92,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,FRA,2015,1.96,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2025,,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,NA_NOTSURVEYED
WORLDBANK,SP.DYN.TFRT.IN,ITA,2024,1.18,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2023,1.21,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2022,1.24,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2021,1.25,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2020,1.24,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2019,1.27,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2018,1.31,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2017,1.34,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2016,1.36,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,ITA,2015,1.36,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2025,,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,NA_NOTSURVEYED
WORLDBANK,SP.DYN.TFRT.IN,JPN,2024,1.15,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2023,1.2,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2022,1.26,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2021,1.3,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2020,1.33,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2019,1.36,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2018,1.42,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2017,1.43,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2016,1.44,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,JPN,2015,1.45,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2025,,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,NA_NOTSURVEYED
WORLDBANK,SP.DYN.TFRT.IN,KOR,2024,0.748,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2023,0.721,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2022,0.778,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2021,0.808,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2020,0.837,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2019,0.918,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2018,0.977,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2017,1.052,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2016,1.172,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,KOR,2015,1.239,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,
WORLDBANK,SP.DYN.TFRT.IN,USA,2025,,명,연간,2026-09-16T16:46:09+09:00,https://api.worldbank.org/v2/country/KOR;JPN;FRA;DEU;ITA;ESP;USA/indicator/SP.DYN.TFRT.IN?format=json&date=2015%3A2025&per_page=500,NA_NOTSURVEYED
